census_code,labels
1,Average
2,Average
3,Average
4,Fast
5,Average
6,Average
7,Average
8,Average
10,Slow
12,Average
14,Average
16,Average
19,Fast
21,Fast
23,Slow
24,Average
25,Slow
26,Slow
27,Slow
28,Slow
29,Slow
30,Average
31,Fast
32,Average
33,Fast
34,Fast
35,Average
36,Fast
37,Fast
38,Fast
39,Average
40,Average
41,Fast
42,Slow
43,Slow
44,Slow
45,Average
46,Slow
47,Slow
48,Slow
49,Slow
51,Fast
53,Slow
55,Fast
56,Average
57,Slow
58,Slow
59,Slow
60,Fast
61,Slow
62,Slow
63,Slow
64,Slow
65,Fast
66,Fast
67,Slow
68,Slow
69,Fast
70,Fast
71,Slow
72,Slow
73,Slow
74,Slow
75,Average
76,Fast
77,Slow
78,Slow
79,Slow
80,Slow
81,Average
82,Fast
83,Fast
84,Fast
85,Average
86,Slow
88,Slow
90,Fast
91,Fast
92,Fast
93,Fast
94,Fast
95,Fast
96,Fast
97,Fast
98,Fast
99,Fast
100,Average
101,Fast
102,Average
103,Slow
104,Slow
105,Average
106,Fast
107,Average
108,Average
109,Average
110,Fast
111,Average
112,Average
113,Average
114,Average
115,Fast
116,Fast
117,Fast
118,Average
119,Fast
120,Average
121,Average
122,Slow
123,Average
124,Slow
125,Slow
126,Average
127,Fast
128,Average
129,Slow
130,Average
132,Average
133,Slow
134,Slow
135,Slow
136,Slow
137,Average
138,Average
139,Average
140,Slow
141,Fast
142,Fast
143,Average
144,Average
145,Slow
146,Slow
147,Slow
148,Average
149,Slow
150,Slow
151,Average
152,Slow
153,Average
154,Slow
155,Slow
156,Slow
157,Slow
158,Average
159,Average
160,Slow
161,Slow
162,Average
163,Average
164,Fast
165,Slow
166,Average
167,Slow
168,Slow
169,Average
170,Slow
171,Slow
172,Average
173,Slow
174,Average
175,Slow
176,Average
177,Slow
178,Average
179,Slow
180,Slow
181,Average
182,Slow
183,Average
184,Slow
185,Average
186,Average
187,Average
188,Average
189,Average
190,Average
191,Slow
192,Average
193,Average
194,Slow
195,Slow
196,Slow
197,Slow
198,Average
199,Average
200,Average
201,Average
203,Slow
204,Average
205,Average
206,Average
207,Slow
208,Average
209,Slow
210,Slow
211,Slow
212,Slow
213,Slow
214,Slow
215,Slow
216,Slow
217,Average
218,Fast
219,Average
220,Average
221,Slow
222,Slow
223,Slow
224,Slow
225,Slow
226,Average
227,Slow
228,Average
229,Slow
230,Slow
231,Slow
232,Average
233,Slow
234,Slow
235,Slow
236,Slow
237,Slow
238,Average
239,Slow
241,Average
242,Slow
243,Fast
244,Fast
245,Average
246,Slow
247,Average
248,Fast
249,Average
250,Average
251,Slow
252,Average
253,Fast
254,Slow
255,Fast
257,Fast
261,Slow
262,Fast
263,Fast
264,Fast
265,Average
266,Average
267,Slow
270,Fast
272,Slow
273,Slow
274,Average
275,Average
276,Average
277,Average
278,Slow
279,Average
280,Average
281,Average
282,Fast
283,Fast
284,Average
285,Average
286,Average
287,Average
288,Average
289,Fast
290,Fast
291,Fast
292,Fast
293,Average
294,Slow
295,Average
296,Slow
297,Slow
298,Fast
299,Average
300,Average
301,Average
302,Average
303,Average
304,Average
305,Slow
306,Average
307,Average
308,Average
309,Average
310,Average
311,Fast
312,Fast
313,Average
314,Slow
315,Average
316,Fast
317,Fast
318,Slow
319,Average
321,Fast
323,Fast
325,Average
327,Fast
328,Average
329,Average
330,Average
331,Average
332,Average
333,Average
334,Average
335,Fast
336,Slow
337,Fast
338,Fast
339,Average
340,Average
341,Fast
342,Fast
343,Fast
344,Fast
346,Slow
347,Average
348,Average
349,Slow
350,Average
351,Slow
352,Average
353,Fast
354,Fast
355,Slow
356,Slow
357,Average
358,Slow
360,Slow
362,Slow
364,Slow
366,Slow
368,Average
370,Slow
371,Fast
372,Fast
373,Slow
374,Fast
375,Average
376,Slow
377,Fast
378,Slow
379,Average
380,Fast
381,Fast
382,Average
383,Fast
384,Slow
385,Fast
386,Fast
387,Fast
388,Slow
389,Average
390,Slow
391,Slow
392,Slow
393,Average
394,Average
395,Slow
396,Average
397,Slow
398,Average
399,Average
400,Slow
401,Slow
402,Slow
403,Slow
404,Slow
405,Slow
406,Slow
407,Slow
408,Average
409,Average
410,Slow
411,Slow
412,Average
413,Slow
414,Slow
416,Slow
418,Slow
419,Slow
420,Slow
421,Slow
422,Average
423,Slow
424,Slow
425,Average
426,Slow
427,Average
428,Average
429,Average
430,Slow
431,Slow
432,Average
433,Slow
434,Average
435,Average
436,Slow
437,Average
438,Slow
439,Fast
440,Slow
441,Slow
442,Average
443,Average
444,Fast
445,Slow
446,Average
447,Slow
448,Slow
449,Slow
450,Average
451,Fast
452,Slow
453,Slow
454,Slow
455,Average
456,Average
457,Slow
458,Average
460,Average
462,Slow
464,Average
466,Average
468,Slow
469,Fast
470,Average
471,Fast
472,Slow
473,Fast
474,Fast
475,Slow
476,Fast
477,Fast
478,Fast
479,Slow
480,Slow
481,Slow
482,Slow
483,Average
484,Slow
485,Slow
486,Fast
487,Slow
488,Fast
489,Average
490,Fast
491,Fast
492,Fast
494,Fast
495,Fast
496,Slow
497,Slow
498,Slow
499,Average
500,Slow
501,Average
502,Slow
503,Fast
504,Slow
505,Fast
506,Average
507,Average
508,Average
509,Fast
510,Average
512,Average
513,Average
514,Average
515,Fast
516,Fast
517,Fast
518,Fast
519,Fast
520,Fast
521,Fast
522,Fast
523,Slow
524,Average
525,Slow
526,Fast
527,Average
528,Slow
529,Average
530,Fast
531,Fast
532,Average
533,Average
534,Average
535,Average
536,Fast
537,Fast
538,Average
539,Average
540,Average
541,Slow
542,Average
543,Average
544,Slow
545,Slow
546,Slow
547,Slow
548,Slow
549,Average
550,Slow
551,Average
552,Average
553,Average
554,Slow
555,Average
556,Average
557,Average
558,Average
559,Average
560,Average
561,Average
562,Average
563,Fast
564,Average
565,Average
566,Average
567,Average
568,Fast
569,Average
570,Fast
571,Average
572,Fast
573,Average
574,Average
575,Average
576,Fast
577,Average
578,Average
579,Average
581,Fast
583,Average
585,Fast
586,Fast
587,Average
588,Average
589,Average
590,Fast
591,Average
592,Fast
593,Fast
594,Slow
595,Slow
596,Fast
597,Average
598,Slow
599,Fast
600,Average
601,Average
602,Fast
603,Fast
604,Fast
605,Average
606,Slow
607,Slow
608,Average
609,Average
610,Average
611,Average
612,Slow
613,Average
614,Average
615,Slow
616,Slow
617,Average
618,Average
619,Average
620,Fast
621,Slow
622,Fast
623,Fast
624,Slow
626,Fast
627,Fast
629,Fast
630,Average
632,Fast
634,Fast
635,Fast
636,Slow
637,Fast
638,Slow
639,Fast
